BACKUP DE USUARIOS GENÉRICOS - 2025-09-17 09:43:10
================================================================================

Usuario: Usuario_3
ID BD: 229
Biométrico ID: 3
Estación: Iberia
Total registros: 58
  - 2025-09-13 12:26:52+00:00 | Iberia | Status: 15
  - 2025-09-14 17:25:20+00:00 | Iberia | Status: 15
  - 2025-09-15 03:00:42+00:00 | Iberia | Status: 15
  - 2025-09-15 18:33:42+00:00 | Iberia | Status: 15
  - 2025-09-16 11:24:31+00:00 | Iberia | Status: 15

----------------------------------------

Usuario: Usuario_4
ID BD: 231
Biométrico ID: 4
Estación: Iberia
Total registros: 117
  - 2024-12-09 22:40:34+00:00 | Iberia | Status: 15
  - 2024-12-11 01:52:39+00:00 | Iberia | Status: 15
  - 2024-12-12 18:05:24+00:00 | Iberia | Status: 15
  - 2024-12-13 18:14:54+00:00 | Iberia | Status: 15
  - 2024-12-14 02:33:41+00:00 | Iberia | Status: 15
  - 2024-12-14 10:09:27+00:00 | Iberia | Status: 15
  - 2024-12-15 10:15:01+00:00 | Iberia | Status: 15
  - 2024-12-15 19:04:24+00:00 | Iberia | Status: 15
  - 2024-12-16 10:16:07+00:00 | Iberia | Status: 15
  - 2024-12-18 02:09:37+00:00 | Iberia | Status: 15
  - 2024-12-18 11:09:46+00:00 | Iberia | Status: 15
  - 2024-12-19 18:07:50+00:00 | Iberia | Status: 15
  - 2024-12-20 02:37:45+00:00 | Iberia | Status: 15
  - 2024-12-20 18:09:47+00:00 | Iberia | Status: 15
  - 2024-12-21 10:09:11+00:00 | Iberia | Status: 15
  - 2024-12-22 10:16:39+00:00 | Iberia | Status: 15
  - 2024-12-23 10:20:58+00:00 | Iberia | Status: 15
  - 2024-12-24 22:15:00+00:00 | Iberia | Status: 15
  - 2024-12-26 02:08:52+00:00 | Iberia | Status: 15
  - 2024-12-27 18:09:32+00:00 | Iberia | Status: 15
  - 2024-12-28 02:29:57+00:00 | Iberia | Status: 15
  - 2024-12-28 18:04:46+00:00 | Iberia | Status: 15
  - 2024-12-29 02:24:24+00:00 | Iberia | Status: 15
  - 2024-12-29 10:09:36+00:00 | Iberia | Status: 15
  - 2024-12-30 18:03:53+00:00 | Iberia | Status: 15
  - 2024-12-31 02:50:51+00:00 | Iberia | Status: 15
  - 2024-12-31 18:04:31+00:00 | Iberia | Status: 15
  - 2025-01-01 18:14:58+00:00 | Iberia | Status: 15
  - 2025-01-02 02:39:11+00:00 | Iberia | Status: 15
  - 2025-01-02 10:07:56+00:00 | Iberia | Status: 15
  - 2025-01-03 22:15:52+00:00 | Iberia | Status: 15
  - 2025-01-04 10:53:22+00:00 | Iberia | Status: 15
  - 2025-01-05 02:10:27+00:00 | Iberia | Status: 15
  - 2025-01-05 10:55:15+00:00 | Iberia | Status: 15
  - 2025-01-06 02:14:45+00:00 | Iberia | Status: 15
  - 2025-01-06 11:07:43+00:00 | Iberia | Status: 15
  - 2025-01-07 18:07:52+00:00 | Iberia | Status: 15
  - 2025-01-08 18:00:18+00:00 | Iberia | Status: 15
  - 2025-01-09 18:03:27+00:00 | Iberia | Status: 15
  - 2025-01-10 02:23:07+00:00 | Iberia | Status: 15
  - 2025-01-10 09:52:33+00:00 | Iberia | Status: 15
  - 2025-08-04 10:58:07+00:00 | NQS8 | Status: 15
  - 2025-08-05 19:03:50+00:00 | NQS8 | Status: 15
  - 2025-08-06 18:58:05+00:00 | NQS8 | Status: 15
  - 2025-08-07 02:59:10+00:00 | NQS8 | Status: 15
  - 2025-08-07 18:55:49+00:00 | NQS8 | Status: 15
  - 2025-08-08 02:44:06+00:00 | NQS8 | Status: 15
  - 2025-08-09 02:56:15+00:00 | NQS8 | Status: 15
  - 2025-08-09 11:12:28+00:00 | NQS8 | Status: 15
  - 2025-08-10 02:55:23+00:00 | NQS8 | Status: 15
  - 2025-08-10 11:05:25+00:00 | NQS8 | Status: 15
  - 2025-08-11 10:55:36+00:00 | NQS8 | Status: 15
  - 2025-08-11 19:01:42+00:00 | NQS8 | Status: 15
  - 2025-08-12 10:55:28+00:00 | NQS8 | Status: 15
  - 2025-08-13 18:56:47+00:00 | NQS8 | Status: 15
  - 2025-08-14 03:00:10+00:00 | NQS8 | Status: 15
  - 2025-08-15 02:55:22+00:00 | NQS8 | Status: 15
  - 2025-08-16 02:58:04+00:00 | NQS8 | Status: 15
  - 2025-08-16 22:55:10+00:00 | NQS8 | Status: 15
  - 2025-08-17 11:05:59+00:00 | NQS8 | Status: 15
  - 2025-08-18 11:00:54+00:00 | NQS8 | Status: 15
  - 2025-08-19 10:56:58+00:00 | NQS8 | Status: 15
  - 2025-08-20 10:59:21+00:00 | NQS8 | Status: 15
  - 2025-08-21 22:54:00+00:00 | NQS8 | Status: 15
  - 2025-08-23 02:54:36+00:00 | NQS8 | Status: 15
  - 2025-08-23 11:03:15+00:00 | NQS8 | Status: 15
  - 2025-08-25 10:55:22+00:00 | NQS8 | Status: 15
  - 2025-08-25 19:08:12+00:00 | NQS8 | Status: 15
  - 2025-08-25 19:33:39+00:00 | Iberia | Status: 15
  - 2025-08-26 10:59:33+00:00 | NQS8 | Status: 15
  - 2025-08-26 18:40:15+00:00 | Iberia | Status: 15
  - 2025-08-27 03:09:52+00:00 | Iberia | Status: 15
  - 2025-08-27 10:38:49+00:00 | Iberia | Status: 15
  - 2025-08-27 10:55:43+00:00 | NQS8 | Status: 15
  - 2025-08-28 18:55:50+00:00 | NQS8 | Status: 15
  - 2025-08-29 02:40:44+00:00 | Iberia | Status: 15
  - 2025-08-29 11:36:04+00:00 | Iberia | Status: 15
  - 2025-08-29 22:55:19+00:00 | NQS8 | Status: 15
  - 2025-08-30 02:47:55+00:00 | Iberia | Status: 15
  - 2025-08-30 22:56:28+00:00 | NQS8 | Status: 15
  - 2025-08-31 18:53:30+00:00 | Iberia | Status: 15
  - 2025-08-31 22:55:55+00:00 | NQS8 | Status: 15
  - 2025-09-01 03:11:33+00:00 | Iberia | Status: 15
  - 2025-09-01 11:10:15+00:00 | NQS8 | Status: 15
  - 2025-09-01 18:55:58+00:00 | Iberia | Status: 15
  - 2025-09-02 02:55:25+00:00 | NQS8 | Status: 15
  - 2025-09-02 03:01:50+00:00 | Iberia | Status: 15
  - 2025-09-02 10:50:32+00:00 | Iberia | Status: 15
  - 2025-09-02 11:02:42+00:00 | NQS8 | Status: 15
  - 2025-09-03 02:55:57+00:00 | NQS8 | Status: 15
  - 2025-09-03 10:57:33+00:00 | Iberia | Status: 15
  - 2025-09-03 19:01:55+00:00 | Iberia | Status: 15
  - 2025-09-04 10:53:43+00:00 | NQS8 | Status: 15
  - 2025-09-04 10:56:44+00:00 | Iberia | Status: 15
  - 2025-09-04 18:59:16+00:00 | Iberia | Status: 15
  - 2025-09-05 18:48:11+00:00 | Iberia | Status: 15
  - 2025-09-05 18:59:14+00:00 | NQS8 | Status: 15
  - 2025-09-06 03:03:45+00:00 | Iberia | Status: 15
  - 2025-09-06 18:46:00+00:00 | Iberia | Status: 15
  - 2025-09-06 18:57:49+00:00 | NQS8 | Status: 15
  - 2025-09-07 03:02:40+00:00 | Iberia | Status: 15
  - 2025-09-07 10:45:30+00:00 | Iberia | Status: 15
  - 2025-09-07 19:11:28+00:00 | Iberia | Status: 15
  - 2025-09-08 01:54:47+00:00 | NQS8 | Status: 15
  - 2025-09-09 02:21:14+00:00 | Iberia | Status: 15
  - 2025-09-09 02:56:11+00:00 | NQS8 | Status: 15
  - 2025-09-09 11:02:21+00:00 | Iberia | Status: 15
  - 2025-09-09 11:08:27+00:00 | NQS8 | Status: 15
  - 2025-09-10 11:53:50+00:00 | NQS8 | Status: 15
  - 2025-09-10 18:43:53+00:00 | Iberia | Status: 15
  - 2025-09-10 19:00:27+00:00 | NQS8 | Status: 15
  - 2025-09-11 03:11:44+00:00 | Iberia | Status: 15
  - 2025-09-11 18:32:19+00:00 | Iberia | Status: 15
  - 2025-09-11 18:56:59+00:00 | NQS8 | Status: 15
  - 2025-09-12 03:03:31+00:00 | Iberia | Status: 15
  - 2025-09-12 11:55:12+00:00 | Iberia | Status: 15
  - 2025-09-12 11:55:36+00:00 | NQS8 | Status: 15

----------------------------------------

Usuario: Usuario_6
ID BD: 232
Biométrico ID: 6
Estación: Iberia
Total registros: 102
  - 2024-12-09 22:45:21+00:00 | Iberia | Status: 15
  - 2024-12-10 18:18:18+00:00 | Iberia | Status: 15
  - 2024-12-11 02:37:49+00:00 | Iberia | Status: 15
  - 2024-12-11 17:52:43+00:00 | Iberia | Status: 15
  - 2024-12-12 02:36:49+00:00 | Iberia | Status: 15
  - 2024-12-12 10:01:20+00:00 | Iberia | Status: 15
  - 2024-12-12 18:50:07+00:00 | Iberia | Status: 15
  - 2024-12-14 01:55:22+00:00 | Iberia | Status: 15
  - 2024-12-15 01:56:27+00:00 | Iberia | Status: 15
  - 2024-12-15 11:06:57+00:00 | Iberia | Status: 15
  - 2024-12-16 17:43:47+00:00 | Iberia | Status: 15
  - 2024-12-17 02:52:23+00:00 | Iberia | Status: 15
  - 2024-12-17 18:15:00+00:00 | Iberia | Status: 15
  - 2024-12-18 09:49:07+00:00 | Iberia | Status: 15
  - 2024-12-18 20:02:34+00:00 | Iberia | Status: 15
  - 2024-12-20 01:47:01+00:00 | Iberia | Status: 15
  - 2024-12-20 11:07:09+00:00 | Iberia | Status: 15
  - 2024-12-21 17:54:54+00:00 | Iberia | Status: 15
  - 2024-12-22 09:54:43+00:00 | Iberia | Status: 15
  - 2024-12-22 19:13:05+00:00 | Iberia | Status: 15
  - 2024-12-23 09:57:35+00:00 | Iberia | Status: 15
  - 2024-12-23 18:52:05+00:00 | Iberia | Status: 15
  - 2024-12-24 10:14:01+00:00 | Iberia | Status: 15
  - 2024-12-24 23:24:47+00:00 | Iberia | Status: 15
  - 2024-12-25 17:46:33+00:00 | Iberia | Status: 15
  - 2024-12-26 02:41:28+00:00 | Iberia | Status: 15
  - 2024-12-26 17:48:00+00:00 | Iberia | Status: 15
  - 2024-12-27 02:40:24+00:00 | Iberia | Status: 15
  - 2024-12-27 09:58:53+00:00 | Iberia | Status: 15
  - 2024-12-27 18:51:45+00:00 | Iberia | Status: 15
  - 2024-12-29 01:39:48+00:00 | Iberia | Status: 15
  - 2024-12-30 01:50:31+00:00 | Iberia | Status: 15
  - 2024-12-31 17:44:30+00:00 | Iberia | Status: 15
  - 2025-01-01 17:40:29+00:00 | Iberia | Status: 15
  - 2025-01-02 02:39:01+00:00 | Iberia | Status: 15
  - 2025-01-02 17:45:30+00:00 | Iberia | Status: 15
  - 2025-01-03 02:40:30+00:00 | Iberia | Status: 15
  - 2025-01-03 09:50:41+00:00 | Iberia | Status: 15
  - 2025-01-04 10:11:35+00:00 | Iberia | Status: 15
  - 2025-01-04 18:43:26+00:00 | Iberia | Status: 15
  - 2025-01-05 09:56:27+00:00 | Iberia | Status: 15
  - 2025-01-05 18:45:35+00:00 | Iberia | Status: 15
  - 2025-01-06 17:44:45+00:00 | Iberia | Status: 15
  - 2025-01-07 02:31:49+00:00 | Iberia | Status: 15
  - 2025-01-07 10:09:05+00:00 | Iberia | Status: 15
  - 2025-01-07 19:17:06+00:00 | Iberia | Status: 15
  - 2025-01-09 01:49:29+00:00 | Iberia | Status: 15
  - 2025-01-09 11:07:56+00:00 | Iberia | Status: 15
  - 2025-01-10 01:39:52+00:00 | Iberia | Status: 15
  - 2025-01-10 10:43:00+00:00 | Iberia | Status: 15
  - 2025-08-06 18:53:14+00:00 | NQS8 | Status: 15
  - 2025-08-07 02:59:13+00:00 | NQS8 | Status: 15
  - 2025-08-08 03:00:56+00:00 | NQS8 | Status: 15
  - 2025-08-09 02:54:11+00:00 | NQS8 | Status: 15
  - 2025-08-09 10:59:06+00:00 | NQS8 | Status: 15
  - 2025-08-10 10:57:49+00:00 | NQS8 | Status: 15
  - 2025-08-11 10:53:36+00:00 | NQS8 | Status: 15
  - 2025-08-11 19:01:36+00:00 | NQS8 | Status: 15
  - 2025-08-12 18:55:45+00:00 | NQS8 | Status: 15
  - 2025-08-13 02:58:45+00:00 | NQS8 | Status: 15
